Species,Abundance,MiFish
Hake Silver,0.67,0.55
Hake Red,0.05,0.16
Flounder Winter,0.02,0.03
Redfish Acadian Perch,0.015,0.02
Plaice American,0.015,0.011
Butterfish,0.03,0.01
Hake White,0.012,0
Alewife,0.04,0.05
Haddock,0.03,0
Sculpin Longhorn,0.015,0.013
Dogfish Spiny,0.011,0
Fourbeard Rockling,0.011,0.08
Monkfish,0.001,0
Herring Blueback,0.002,0.004
Shad American,0.001,0.001
Flounder Yellowtail,0.01,0.001
Herring Atlantic,0.001,0
Skate Thorny,0.001,0
Cod Atlantic,0.001,0.001
Skate Little,0.001,0.001
Lumpfish,0.001,0.001
Flounder Fourspot,0.001,0
Halibut Atlantic,0.001,0.001
Skate Barndoor,0.001,0.001
Sea Raven,0.001,0.001
Pollock,0.001,0
Alligatorfish,0.001,0
Wrymouth,0.001,0
Flounder Windowpane,0.001,0
