Species,Abundance,MiFish
Hake Silver,67,6
Hake Red,5,2
Flounder Winter,2,3
Redfish Acadian Perch,2,2
Plaice American,2,1
Butterfish,3,1
Hake White,1,0
Alewife,4,5
Haddock,3,0
Sculpin Longhorn,2,1
Dogfish Spiny,1,0
Fourbeard Rockling,1,8
Monkfish,0,0
Herring Blueback,0,0
Shad American,0,0
Flounder Yellowtail,1,0
Herring Atlantic,0,0
Skate Thorny,0,0
Cod Atlantic,0,0
Skate Little,0,0
Lumpfish,0,0
Flounder Fourspot,0,0
Halibut Atlantic,0,0
Skate Barndoor,0,0
Sea Raven,0,0
Pollock,0,0
Alligatorfish,0,0
Wrymouth,0,0
Flounder Windowpane,0,0
