Survey,Season,Year,Tow_Number,Region,Stratum,Grid,Date,Common_Name,Number_Caught,Weight_kg,Subsample_Weight_kg,Subsample_Weight_kg_2,Male_Wt_kg,Female_Wt_kg,Expanded_Catch,Expanded_Weight_kg
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Alewife,7,0.6,0,,,,8.235294118,0.705882353
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Dogfish Spiny,1,1.5,0,0,,,1.176470588,1.764705882
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Flounder Atlantic Windowpane (Sand Dab ),4,0.6,0,,,,4.705882353,0.705882353
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Flounder Atlantic Witch (Gray Sole),1,0.5,0,,,,1.176470588,0.588235294
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Flounder Fourspot,1,0.25,0,,,,1.176470588,0.294117647
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Flounder Winter,97,12.1,0,,,,114.1176471,14.23529412
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Flounder Yellowtail,108,25,0,,,,127.0588235,29.41176471
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Haddock,49,5.3,0,,,,57.64705882,6.235294118
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Hake Atlantic Red,76,6.5,0,,,,89.41176471,7.647058824
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Hake Silver (Whiting),240,12,5,,,,282.3529412,14.11764706
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Hake White,3,1,0,,,,3.529411765,1.176470588
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Lobster American,16,6,0,,3,3,18.82352941,7.058823529
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Monkfish,8,2,0,,,,9.411764706,2.352941176
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Plaice American (Dab),22,1.8,0,,,,25.88235294,2.117647059
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Pollock,1,0.5,0,,,,1.176470588,0.588235294
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Pout Ocean,1,0.1,0,,,,1.176470588,0.117647059
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Sculpin Longhorn,21,2.8,0,,,,24.70588235,3.294117647
