Survey,Season,Tow_Number,Region,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Common_Name,Number_Caught,Species,Abundance,MiFish,Leray,Ceph_18s,Surface_WaterTemp_DegC,Bottom_WaterTemp_DegC
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Crab Jonah,1,Hake Silver,0.67,0.55,0.053,,15.4,7.5
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Dogfish Spiny,19,Hake Red,0.05,1.6,0.025,,15.4,7.5
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Flounder Atlantic Witch (Gray Sole),61,Flounder Winter,0.02,0.03,0.01,,15.4,7.5
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Fourbeard Rockling,6,Redfish Acadian Perch,0.015,0.2,0.01,,15.4,7.5
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Hake Atlantic Red,250,Plaice American,0.015,0.011,0.015,,15.4,7.5
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Hake Silver (Whiting),2,Butterfish,0.03,0.01,0.012,,15.4,7.5
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Hake Silver (Whiting),298,Hake White,0.012,0.001,0.011,,15.4,7.5
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Hake White,17,Alewife,0.04,0.05,0.011,,15.4,7.5
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Monkfish,4,Haddock,0.03,0.001,0.011,,15.4,7.5
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Plaice American (Dab),58,Sculpin Longhorn,0.015,0.013,0.011,,15.4,7.5
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Redfish Acadian Ocean Perch,13,Dogfish Spiny,0.011,0.001,0.011,,15.4,7.5
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Scallop Sea,342,Fourbeard Rockling,0.011,0.08,0.01,,15.4,7.5
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Shrimp Dichelo,108,Monkfish,0.001,0.001,0.01,,15.4,7.5
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Shrimp Northern,4,Herring Blueback,0.001,0.001,0.01,,15.4,7.5
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Shrimp Norwegian,12,Shad American,0.001,0.001,0.03,,15.4,7.5
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Squid Short-Finned,3,Flounder Yellowtail,0.01,0.001,0.001,,15.4,7.5
FL23,Fall,18,2,43.461,-69.836,43.45,-69.848,Star Brittle,1,Herring Atlantic,0.001,0.001,0.001,,15.4,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Crab Jonah,1,Skate Thorny,0.001,0.001,0.03,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Dogfish Spiny,25,Cod Atlantic,0.001,0.001,0.001,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Flounder Atlantic Witch (Gray Sole),53,Skate Little,0.001,0.001,0.001,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Flounder Yellowtail,1,Lumpfish,0.001,0.001,0.001,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Fourbeard Rockling,5,Flounder Fourspot,0.001,0.001,0.001,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Hake Atlantic Red,177,Halibut Atlantic,0.001,0.001,0.001,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Hake Silver (Whiting),2,Skate Barndoor,0.001,0.001,0.001,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Hake Silver (Whiting),165,Sea Raven,0.001,0.001,0.001,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Hake White,14,Pollock,0.001,0.001,0.001,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Krill,1,Alligatorfish,0.001,0.001,0.001,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Monkfish,8,Wrymouth,0.001,0.001,0.001,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Plaice American (Dab),77,Flounder Windowpane,0.001,0.001,0.001,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Redfish Acadian Ocean Perch,11,Pandaulus Shrimp,0.34,,0.085,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Scallop Sea,212,Sea Scallop,0.34,,0.001,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Sea Pen,2,Lobster,0.23,,0.01,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Shrimp Dichelo,65,Northern Shrimp,0.03,,0.001,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Shrimp Northern,9,Jonah Crab,0.02,,0.001,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Shrimp Norwegian,24,Norwegian Shrimp,0.015,,0.05,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Skate Barndoor,1,Squid Shortfin,0.01,,0.011,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Skate Thorny,2,Squid Longfin,0.001,,0.001,,15.6,7.5
FL23,Fall,19,2,43.454,-69.898,43.444,-69.912,Squid Short-Finned,2,Octopus Spoonarm,0.001,,0.001,,15.6,7.5
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Dogfish Spiny,8,Rock Crab,0.001,,0.001,,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Flounder Atlantic Witch (Gray Sole),71,Crangon Shrimp,0.001,,0.001,,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Fourbeard Rockling,8,Toad Crab,0.001,,0.001,,15.4,7.7
