Index,Well,Primer,Project,Extract_ID,ReadFile,Sample_type,TrawlID,RunID,LibraryPrepLab,Platemap_link,PCR_link
1,A1,TarEuk18S,Trawl,TN1,EG301,Top_metaprobe,SP23018,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
2,B1,TarEuk18S,Trawl,TN2,EG302,Top_metaprobe,SP23018,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
3,C1,TarEuk18S,Trawl,TN3,EG303,Top_metaprobe,SP23018,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
4,D1,TarEuk18S,Trawl,BN1T1,EG304,Bottom_metaprobe,SP23018,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
5,E1,TarEuk18S,Trawl,BN2T1,EG305,Bottom_metaprobe,SP23018,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
6,F1,TarEuk18S,Trawl,BN3T1,EG306,Bottom_metaprobe,SP23018,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
7,G1,TarEuk18S,Trawl,TN1T2,EG307,Top_metaprobe,SP23019,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
8,H1,TarEuk18S,Trawl,TN2T2,EG308,Top_metaprobe,SP23019,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
9,A2,TarEuk18S,Trawl,TN3T2,EG309,Top_metaprobe,SP23019,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
10,B2,TarEuk18S,Trawl,BN1T2,EG310,Bottom_metaprobe,SP23019,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
11,C2,TarEuk18S,Trawl,BN2T2,EG311,Bottom_metaprobe,SP23019,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
12,D2,TarEuk18S,Trawl,NTC,EG312,ntc,SP23019,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
13,E2,TarEuk18S,Trawl,BN2T3,EG313,Bottom_metaprobe,SP23020,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
14,F2,TarEuk18S,Trawl,BN3T3,EG314,Bottom_metaprobe,SP23020,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
15,G2,TarEuk18S,Trawl,HRT1,EG315,Top_metaprobe,SP23088,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
16,H2,TarEuk18S,Trawl,C1T1,EG316,Bottom_metaprobe,SP23088,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
17,A3,TarEuk18S,Trawl,C2T1,EG317,Bottom_metaprobe,SP23088,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
18,B3,TarEuk18S,Trawl,C3T1,EG318,Bottom_metaprobe,SP23088,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
19,C3,TarEuk18S,Trawl,HR1T2,EG319,Top_metaprobe,SP23094,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
20,D3,TarEuk18S,Trawl,HR2T2,EG320,Top_metaprobe,SP23094,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
21,E3,TarEuk18S,Trawl,HR3T2,EG321,Top_metaprobe,SP23094,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
22,F3,TarEuk18S,Trawl,C1T2,EG322,Bottom_metaprobe,SP23094,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
23,G3,TarEuk18S,Trawl,C2T2,EG323,Bottom_metaprobe,SP23094,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
24,H3,TarEuk18S,Trawl,C3T2,EG324,Bottom_metaprobe,SP23094,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
25,A4,TarEuk18S,Trawl,BN2T3_2,EG325,Bottom_metaprobe,SP23096,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
26,B4,TarEuk18S,Trawl,BN3T3_2,EG326,Bottom_metaprobe,SP23096,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
27,C4,TarEuk18S,Trawl,HR3 6/1,EG327,Top_metaprobe,SP23096,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
28,D4,TarEuk18S,Trawl,C1 6/1,EG328,Bottom_metaprobe,SP23096,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
29,E4,TarEuk18S,Trawl,C2 6/1,EG329,Bottom_metaprobe,SP23096,EG301-584,URI_Janet Atoyan,https://drive.google.com/drive/folders/1F175Ecf-4i6CodknemB5bkmez83KNK-L?usp=drive_link,
