EG3241,EG3242,EG3243,EG3244,EG3245,EG3246,EG3247,EG3248,EG3249,EG3250,EG3251,EG3252,EG3253,EG3254,EG3255,EG3256,EG3257,EG3258,EG3259,EG3260,EG3261,Species,full_tax
6843,0,3879,21577,15963,25128,28290,0,0,1,1,40989,0,24551,42564,47,0,0,52152,59754,36360,Merluccius bilinearis,Chordata_7711;Actinopteri_186623;Gadiformes_8043;Merlucciidae_8061;Merluccius_8062;Merluccius_bilinearis_79698
0,0,22780,0,43630,15869,0,0,0,0,0,0,0,0,7865,0,0,0,2168,4876,11481,Alosa pseudoharengus,Chordata_7711;Actinopteri_186623;Clupeiformes_32446;Clupeidae_55118;Alosa_34772;Alosa_pseudoharengus_34774
0,0,19691,11795,0,3,236,0,0,0,0,200,0,389,0,0,0,0,0,1808,748,Pseudopleuronectes americanus,Chordata_7711;Actinopteri_186623;Pleuronectiformes_8252;Pleuronectidae_8256;Pseudopleuronectes_8264;Pseudopleuronectes_americanus_8265
8137,0,0,3199,0,0,0,0,33229,0,58,210,0,0,1,4940,0,0,68,6,0,Hippoglossoides platessoides,Chordata_7711;Actinopteri_186623;Pleuronectiformes_8252;Pleuronectidae_8256;Hippoglossoides_30944;Hippoglossoides_platessoides_34817
0,0,0,0,0,0,9129,0,0,0,0,7234,0,13957,0,0,0,0,0,0,37,Peprilus triacanthus,Chordata_7711;Actinopteri_186623;Scombriformes_1489894;Stromateidae_94243;Peprilus_183652;Peprilus_triacanthus_183653
0,0,13457,12631,1,0,0,0,0,0,0,0,0,0,135,0,0,0,604,0,605,Sebastes fasciatus,Chordata_7711;Actinopteri_186623;Perciformes_8111;Sebastidae_274692;Sebastes_34820;Sebastes_fasciatus_394691
49,0,0,0,0,5102,15583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Enchelyopus cimbrius,Chordata_7711;Actinopteri_186623;Gadiformes_8043;Gaidropsaridae_1545873;Enchelyopus_81639;Enchelyopus_cimbrius_81640
385,0,201,12504,875,488,652,0,0,0,0,981,0,1145,1638,0,0,0,2160,4832,5490,Urophycis chuss,Chordata_7711;Actinopteri_186623;Gadiformes_8043;Phycidae_163113;Urophycis_183655;Urophycis_chuss_183656
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7307,5220,1,Melanogrammus aeglefinus,Chordata_7711;Actinopteri_186623;Gadiformes_8043;Gadidae_8045;Melanogrammus_8055;Melanogrammus_aeglefinus_8056
0,0,0,10236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2118,Clupea harengus,Chordata_7711;Actinopteri_186623;Clupeiformes_32446;Clupeidae_55118;Clupea_7949;Clupea_harengus_7950
5674,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,55,Myoxocephalus octodecemspinosus,Chordata_7711;Actinopteri_186623;Perciformes_8111;Cottidae_8092;Myoxocephalus_8095;Myoxocephalus_octodecemspinosus_68557
0,0,653,0,1207,484,0,0,0,0,0,0,0,0,5301,0,0,0,51,157,306,Urophycis tenuis,Chordata_7711;Actinopteri_186623;Gadiformes_8043;Phycidae_163113;Urophycis_183655;Urophycis_tenuis_183657
219,0,0,77,0,0,0,0,883,0,3,0,0,0,0,128,192,0,3,0,0,Scomber scombrus,Chordata_7711;Actinopteri_186623;Scombriformes_1489894;Scombridae_8224;Scomber_13675;Scomber_scombrus_13677
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,755,0,Glyptocephalus cynoglossus,Chordata_7711;Actinopteri_186623;Pleuronectiformes_8252;Pleuronectidae_8256;Glyptocephalus_34818;Glyptocephalus_cynoglossus_34819
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,Lophius americanus,Chordata_7711;Actinopteri_186623;Lophiiformes_8070;Lophiidae_8071;Lophius_8072;Lophius_americanus_8073
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brevoortia tyrannus,Chordata_7711;Actinopteri_186623;Clupeiformes_32446;Clupeidae_55118;Brevoortia_224706;Brevoortia_tyrannus_224708
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Squalus acanthias,Chordata_7711;Chondrichthyes_7777;Squaliformes_282414;Squalidae_30511;Squalus_7796;Squalus_acanthias_7797
0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,Cryptacanthodes maculatus,Chordata_7711;Actinopteri_186623;Perciformes_8111;Cryptacanthodidae_30888;Cryptacanthodes_433378;Cryptacanthodes_maculatus_1266866
