EG501,EG502,EG503,EG504,EG505,EG506,EG507,EG508,EG509,EG510,EG511,EG512,EG513,EG514,EG515,EG516,EG517,EG518,EG519,EG520,EG521,EG522,EG523,EG524,EG525,EG526,EG527,EG528,EG529,EG530,EG531,EG532,EG533,EG534,EG535,EG536,EG537,EG538,EG539,EG540,EG541,EG542,EG543,EG544,EG545,EG546,EG547,Species,full_tax
49372,18337,21778,8003,6041,2,7155,0,0,6469,0,8382,0,13278,0,18619,9061,9094,11951,20272,25345,35687,25593,29845,23972,29638,21066,29184,18576,0,10722,11534,6987,12349,11625,19055,9569,15063,11298,13725,13153,9551,0,287,28012,25143,1827,Merluccius bilinearis,Chordata_7711;Actinopteri_186623;Gadiformes_8043;Merlucciidae_8061;Merluccius_8062;Merluccius_bilinearis_79698
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5802,0,0,0,0,0,0,437,43,14,24,0,0,0,0,0,4967,580,953,5645,1422,1613,4945,5278,4550,0,0,0,0,0,Hippoglossoides platessoides,Chordata_7711;Actinopteri_186623;Pleuronectiformes_8252;Pleuronectidae_8256;Hippoglossoides_30944;Hippoglossoides_platessoides_34817
0,974,482,69,0,0,0,0,0,0,0,0,0,0,210,0,385,2097,6934,1019,1548,1251,1069,1751,2165,248,121,57,0,0,178,724,91,0,0,0,0,143,20,5,5,79,0,0,10,39,0,Elphidium margaritaceum,Foraminifera_29178;character(0)_character(0);Rotaliida_29185;Elphidiidae_29186;Elphidium_29187;Elphidium_margaritaceum_933848
0,0,18,534,775,489,146,571,48,624,271,141,4,219,1895,0,16,6,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,19,Haematococcus sp,Chlorophyta_3041;Chlorophyceae_3166;Chlamydomonadales_3042;Haematococcaceae_35484;Haematococcus_44744;Haematococcus_44744_sp
0,0,205,260,228,0,152,357,0,1446,52,89,0,787,269,0,0,96,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,Rhodospirillum rubrum,Pseudomonadota_1224;Alphaproteobacteria_28211;Rhodospirillales_204441;Rhodospirillaceae_41295;Rhodospirillum_1081;Rhodospirillum_rubrum_1085
0,63,0,0,0,0,35,0,8,25,7,55,0,6,0,0,13,0,620,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,Pezizaceae sp,Ascomycota_4890;Pezizomycetes_147549;Pezizales_5185;Pezizaceae_5186;NA;NA
0,46,0,7,513,11,0,2,0,0,0,0,0,0,0,120,0,35,5,0,36,0,1,5,2,0,0,0,33,0,2,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,Morchella sp,Ascomycota_4890;Pezizomycetes_147549;Pezizales_5185;Morchellaceae_5192;Morchella_5193;Morchella_5193_sp
9180,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,11979,4034,0,0,2295,2447,6289,1789,770,2566,1007,800,618,14947,2,3825,6817,6897,19107,13548,3497,17330,10863,9331,10053,13777,11999,0,0,2426,2926,27,Urophycis chuss,Chordata_7711;Actinopteri_186623;Gadiformes_8043;Phycidae_163113;Urophycis_183655;Urophycis_chuss_183656
16789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,4,0,0,883,1244,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,Alosa sapidissima,Chordata_7711;Actinopteri_186623;Clupeiformes_32446;Clupeidae_55118;Alosa_34772;Alosa_sapidissima_34773
0,180,247,404,179,281,4392,945,0,286,170,852,0,784,1775,1392,13,748,1338,127,513,985,519,1145,295,30,30,13,1639,0,101,798,61,0,0,0,982,15,50,10,1,30,0,17186,0,0,19300,Pseudoalteromonas denitrificans,Bacteria;Pseudomonadota_1224;Gammaproteobacteria_1236;Pseudoalteromonas_53246;Pseudoalteromonas denitrificans_43656_DADA2_UNSPECIFIED;NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,18,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Macrobrachium sp,Arthropoda_6656;Malacostraca_6681;Decapoda_6683;Palaemonidae_6695;Macrobrachium_6696;Macrobrachium_6696_sp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,354,1196,0,0,0,0,0,0,0,0,0,0,0,0,7250,2775,254,Peprilus triacanthus,Chordata_7711;Actinopteri_186623;Scombriformes_1489894;Stromateidae_94243;Peprilus_183652;Peprilus_triacanthus_183653
0,8,168,0,23,0,0,0,0,0,0,0,0,0,0,0,0,128,99,5,1,105,19,37,9,1,0,0,0,0,36,5,9,0,0,0,0,17,0,0,0,0,0,0,0,0,0,Bacillariophyta sp,Bacillariophyta_2836;NA;NA;NA;NA;NA
