Common_Name,Species,Fish_Invert,Body_Type
Clam Ocean Quahog ,Artica islandica,Invertebrate,Crunchy
Crab Atlantic Rock,Cancer irroratus,Invertebrate,Crunchy
Crab Jonah,Cancer borealis,Invertebrate,Crunchy
Crab Toad,Hyas coarctatus,Invertebrate,Crunchy
Jelly Comb,Ctenophora,Invertebrate,Slimy
Krill,Euphausiacea,Invertebrate,Crunchy
Lobster American,Homarus americanus,Invertebrate,Crunchy
Northern Cyclocardia,Cyclocardia borealis,Invertebrate,Crunchy
Octopus Spoonarm,Bathypolypus arcticus,Invertebrate,Slimy
Scallop Sea,Placopecten magellanicus,Invertebrate,Crunchy
Sea Anemone,Actiniaria,Invertebrate,Slimy
Sea Pen,Pennatulacea,Invertebrate,Slimy
Sea Sponges,Porifera spp.,Invertebrate,Slimy
Shrimp Crangon,Crangon vulgaris,Invertebrate,Crunchy
Shrimp Dichelo,Farfantepenaeus duorarum,Invertebrate,Crunchy
Shrimp Montagui,Pandalus montagui,Invertebrate,Crunchy
Shrimp Northern ,Pandalus borealis,Invertebrate,Crunchy
Shrimp Norwegian,Pontophilus norvegicus,Invertebrate,Crunchy
Squid Long Finned,Doryteuthis pealeii,Invertebrate,Slimy
Squid Short-Finned,Illex illecebrosus,Invertebrate,Slimy
Star Brittle,Ophiuroidea,Invertebrate,Crunchy
Seaweed Unc,Seaweed spp.,Seaweed,Slimy
