Survey,Season,Year,Tow_Number,Region,Stratum,Grid,Date,Starting_Depth(m),End_Depth(m),Bottom_Water_Temperature(C⁰),Surface_Water_Temperature(C⁰),sample_type,species,n_trawl_stations,n_trawl_stations_nonzero,mean_trawl_count,sd_trawl_count,mean_trawl_weight,sd_trawl_weight,mean_trawl_count_rel,sd_trawl_count_rel,mean_trawl_weight_rel,sd_trawl_weight_rel,n_edna_stations,n_edna_stations_detected,mean_edna_rel_read_count,sd_edna_rel_read_count
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,Bottom_metaprobe,Illex illecebrosus,7,3,1,1.290994449,0.1814285714,0.2403073429,0.4285714286,0.5345224838,0.4285714286,0.5345224838,7,6,0.63046576,0.4803322583
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,Bottom_metaprobe,Doryteuthis pealeii,7,3,0.8571428571,1.214985793,0.04,0.06708203932,0.3571428571,0.4755948656,0.4208494208,0.5252006105,7,4,0.36953424,0.4803322583
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,Bottom_metaprobe,Bathypolypus arcticus,7,2,0.2857142857,0.4879500365,0.002,0.003829708431,0.2142857143,0.3933978962,0.1505791506,0.3751007146,7,0,0,0
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,Slush,Illex illecebrosus,7,3,1,1.290994449,0.1814285714,0.2403073429,0.4285714286,0.5345224838,0.4285714286,0.5345224838,7,2,0.2857142857,0.4879500365
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,Slush,Bathypolypus arcticus,7,2,0.2857142857,0.4879500365,0.002,0.003829708431,0.2142857143,0.3933978962,0.1505791506,0.3751007146,7,0,0,0
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,Slush,Doryteuthis pealeii,7,3,0.8571428571,1.214985793,0.04,0.06708203932,0.3571428571,0.4755948656,0.4208494208,0.5252006105,7,0,0,0
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,Top_metaprobe,Illex illecebrosus,7,3,1,1.290994449,0.1814285714,0.2403073429,0.4285714286,0.5345224838,0.4285714286,0.5345224838,7,5,0.6851025072,0.4728723071
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,Top_metaprobe,Doryteuthis pealeii,7,3,0.8571428571,1.214985793,0.04,0.06708203932,0.3571428571,0.4755948656,0.4208494208,0.5252006105,7,3,0.1851065913,0.3730025355
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,Top_metaprobe,Bathypolypus arcticus,7,2,0.2857142857,0.4879500365,0.002,0.003829708431,0.2142857143,0.3933978962,0.1505791506,0.3751007146,7,1,3.96E-04,0.001048198731
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,138.99,132.95,7.5,15.4,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
