Survey,Season,Year,Tow_Number,Region,Stratum,Grid,Date,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Starting_Depth(m),End_Depth(m),Mean_Depth(m),Bottom_Water_Temperature(C⁰),Surface_Water_Temperature(C⁰),trawl_id,species,trawl_count,trawl_weight,trawl_count_rel,trawl_weight_rel,bottom_metaprobe_rel_reads,slush_rel_reads,top_metaprobe_rel_reads,best_rel_reads
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,43.46,69.83,43.45,69.84,138.99,132.95,135.97,7.5,15.4,FL23018,Enchelyopus cimbrius,6,0.31,0.008241758242,0.001484660109,2.21E-04,0.003359798412,4.29E-04,2.21E-04
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,43.46,69.83,43.45,69.84,138.99,132.95,135.97,7.5,15.4,FL23018,Glyptocephalus cynoglossus,61,13.67,0.08379120879,0.06546872156,0.07685323157,0.1275123493,0.06041020749,0.07685323157
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,43.46,69.83,43.45,69.84,138.99,132.95,135.97,7.5,15.4,FL23018,Hippoglossoides platessoides,58,28.54,0.07967032967,0.1366845145,0.02828966832,0.1128932264,0.118459337,0.02828966832
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,43.46,69.83,43.45,69.84,138.99,132.95,135.97,7.5,15.4,FL23018,Lophius americanus,4,6.2,0.005494505495,0.02969320217,0.005312499848,2.00E-04,0.01066062485,0.005312499848
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,43.46,69.83,43.45,69.84,138.99,132.95,135.97,7.5,15.4,FL23018,Merluccius bilinearis,300,31.612,0.4120879121,0.1513970173,0.5661621694,0.1913685179,0.2945146673,0.5661621694
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,43.46,69.83,43.45,69.84,138.99,132.95,135.97,7.5,15.4,FL23018,Sebastes fasciatus,13,1.57,0.01785714286,0.007519085066,0,0,0,0
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,43.46,69.83,43.45,69.84,138.99,132.95,135.97,7.5,15.4,FL23018,Squalus acanthias,19,28.59,0.0260989011,0.1369239758,3.69E-05,0.1086934784,2.15E-04,1.84E-05
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,43.46,69.83,43.45,69.84,138.99,132.95,135.97,7.5,15.4,FL23018,Urophycis chuss,250,44.91,0.3434065934,0.2150841467,0.3144337576,0.3465792052,0.4556880515,0.3144337576
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,43.46,69.83,43.45,69.84,138.99,132.95,135.97,7.5,15.4,FL23018,Urophycis tenuis,17,53.4,0.02335164835,0.2557446768,0.003763339833,0.03745775253,0.02492248986,0.003763339833
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Amblyraja radiata,2,8.38,0.003696857671,0.0413471881,0.005286619214,0,0,0.005286619214
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Dipturus laevis,1,1.14,0.001848428835,0.005624796471,2.40E-04,0,0,8.00E-05
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Enchelyopus cimbrius,5,0.25,0.009242144177,0.001233507998,6.24E-04,0,0,2.08E-04
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Glyptocephalus cynoglossus,53,12.65,0.09796672828,0.0624155047,0.1253345008,0,0.1096781344,0.1253345008
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Hippoglossoides platessoides,77,35.06,0.1423290203,0.1729871616,0.1155386282,0,0.03208061935,0.1155386282
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Lophius americanus,8,3.68,0.01478743068,0.01815723773,0.00525407589,0,0.00422280386,0.00525407589
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Merluccius bilinearis,167,16.714,0.3086876155,0.08246741072,0.2853459459,0,0.271439607,0.2853459459
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Pleuronectes ferruginea,1,0.16,0.001848428835,7.89E-04,0,0,0,0
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Sebastes fasciatus,11,3.67,0.02033271719,0.01810789741,0,0,0,0
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Squalus acanthias,25,39.73,0.04621072089,0.1960290911,0.001167300594,0,3.81E-04,0.001167300594
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Urophycis chuss,177,32.05,0.3271719039,0.1581357254,0.2797030033,0,0.2097333785,0.2797030033
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Urophycis tenuis,14,49.19,0.0258780037,0.2427050337,0.1473689259,0,0.3303112689,0.1473689259
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,44.32,67.55,44.31,67.57,86.87,86.32,86.595,10.8,11.8,FL23072,Clupea harengus,3,0.11,0.006741573034,0.002190798646,0,0,0,0
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,44.32,67.55,44.31,67.57,86.87,86.32,86.595,10.8,11.8,FL23072,Enchelyopus cimbrius,4,0.24,0.008988764045,0.004779924318,0,0,0,0
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,44.32,67.55,44.31,67.57,86.87,86.32,86.595,10.8,11.8,FL23072,Glyptocephalus cynoglossus,5,0.07,0.01123595506,0.001394144593,0,0,0,0
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,44.32,67.55,44.31,67.57,86.87,86.32,86.595,10.8,11.8,FL23072,Hippoglossoides platessoides,1,0.18,0.002247191011,0.003584943238,0,0,0,0
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,44.32,67.55,44.31,67.57,86.87,86.32,86.595,10.8,11.8,FL23072,Hippoglossus hippoglossus,1,7.91,0.002247191011,0.157538339,0,0,0,0
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,44.32,67.55,44.31,67.57,86.87,86.32,86.595,10.8,11.8,FL23072,Merluccius bilinearis,228,19.136,0.5123595506,0.3811192989,0,0.01442863607,0,0.01442863607
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,44.32,67.55,44.31,67.57,86.87,86.32,86.595,10.8,11.8,FL23072,Peprilus triacanthus,1,0.09,0.002247191011,0.001792471619,0,0,0,0
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,44.32,67.55,44.31,67.57,86.87,86.32,86.595,10.8,11.8,FL23072,Pleuronectes ferruginea,1,0.21,0.002247191011,0.004182433778,0,0,0,0
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,44.32,67.55,44.31,67.57,86.87,86.32,86.595,10.8,11.8,FL23072,Pseudopleuronectes americanus,68,8.89,0.1528089888,0.1770563633,0,0,0,0
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,44.32,67.55,44.31,67.57,86.87,86.32,86.595,10.8,11.8,FL23072,Sebastes fasciatus,1,0.004,0.002247191011,7.97E-05,0,0,0,0
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,44.32,67.55,44.31,67.57,86.87,86.32,86.595,10.8,11.8,FL23072,Urophycis chuss,120,11.94,0.2696629213,0.2378012348,0,0,0,0
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,44.32,67.55,44.31,67.57,86.87,86.32,86.595,10.8,11.8,FL23072,Urophycis tenuis,12,1.43,0.02696629213,0.02848038239,0,0,0,0
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Alosa pseudoharengus,7,0.62,0.003360537686,0.003653893754,0.04291115792,0,0,0.02145557896
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Clupea harengus,3,0.25,0.001440230437,0.001473344256,0.02616311817,3.79E-04,0,0.01308155909
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Enchelyopus cimbrius,5,0.23,0.002400384061,0.001355476715,0,0,0,0
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Hemitripterinae,1,0.17,4.80E-04,0.001001874094,0,0,0,0
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Leucoraja erinacea,4,3.04,0.001920307249,0.01791586615,0.02083634331,0,0,0.02083634331
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Merluccius bilinearis,1674,131.532,0.8036485838,0.7751676666,0.7094660633,0.07688099647,0,0.7094660633
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Myoxocephalus octodecemspinosus,29,4.6,0.01392222756,0.02710953431,0.04553903346,0.00408180441,0,0.02276951673
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Peprilus triacanthus,201,13.49,0.09649543927,0.07950165604,0.1310644342,0.01068843629,0,0.1310644342
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Pseudopleuronectes americanus,24,2.56,0.01152184349,0.01508704518,0,0.001304494193,0,0
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Sebastes fasciatus,2,0.06,9.60E-04,3.54E-04,0,0,0,0
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Squalus acanthias,2,3.63,9.60E-04,0.02139295859,0,0,0,0
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Urophycis chuss,100,8.66,0.04800768123,0.05103664502,0.07198331592,0.001136172362,0,0.07198331592
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Urophycis tenuis,31,0.84,0.01488238118,0.004950436699,0,0.002104022892,0,0
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,43.48,69.92,43.47,69.93,127.65,123.26,125.455,8.2,5.8,SP23018,Alosa aestivalis,3,0.164,0.002559726962,0.00130693953,0,0,0,0
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,43.48,69.92,43.47,69.93,127.65,123.26,125.455,8.2,5.8,SP23018,Alosa pseudoharengus,37,4.87,0.03156996587,0.03880972873,0,0,0,0
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,43.48,69.92,43.47,69.93,127.65,123.26,125.455,8.2,5.8,SP23018,Alosa sapidissima,2,0.116,0.001706484642,9.24E-04,0,0,0.2227751018,0
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,43.48,69.92,43.47,69.93,127.65,123.26,125.455,8.2,5.8,SP23018,Gadus morhua,2,0.12,0.001706484642,9.56E-04,0,0,0,0
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,43.48,69.92,43.47,69.93,127.65,123.26,125.455,8.2,5.8,SP23018,Glyptocephalus cynoglossus,13,1.31,0.01109215017,0.01043957795,0,0,0.03132619746,0
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,43.48,69.92,43.47,69.93,127.65,123.26,125.455,8.2,5.8,SP23018,Hippoglossoides platessoides,24,7.68,0.0204778157,0.0612030219,0,0,0,0
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,43.48,69.92,43.47,69.93,127.65,123.26,125.455,8.2,5.8,SP23018,Lophius americanus,1,0.534,8.53E-04,0.004255522616,0,0,0.03645079969,0
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,43.48,69.92,43.47,69.93,127.65,123.26,125.455,8.2,5.8,SP23018,Melanogrammus aeglefinus,15,6.3,0.01279863481,0.0502056039,0.1219834226,0,7.44E-04,0.04066114086
