Survey,Season,Year,Tow_Number,Region,Stratum,Grid,Date,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Starting_Depth(m),End_Depth(m),Mean_Depth(m),Bottom_Water_Temperature(C⁰),Surface_Water_Temperature(C⁰),trawl_id,species,Body_Type,trawl_count,trawl_weight,trawl_count_rel,trawl_weight_rel,bottom_metaprobe_rel_reads,slush_rel_reads,top_metaprobe_rel_reads,best_rel_reads
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,43.46,69.83,43.45,69.84,138.99,132.95,135.97,7.5,15.4,FL23018,Cancer borealis,Crunchy,1,0.03,0.002123142251,0.005162622612,0,0,0,0
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,43.46,69.83,43.45,69.84,138.99,132.95,135.97,7.5,15.4,FL23018,Farfantepenaeus duorarum,Crunchy,108,0.2785,0.2292993631,0.04792634658,0,0,0,0
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,43.46,69.83,43.45,69.84,138.99,132.95,135.97,7.5,15.4,FL23018,Illex illecebrosus,Slimy,3,0.56,0.006369426752,0.09636895543,9.56E-05,2.66E-04,0,4.78E-05
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,43.46,69.83,43.45,69.84,138.99,132.95,135.97,7.5,15.4,FL23018,Ophiuroidea,Slimy,1,0.01,0.002123142251,0.001720874204,0,0,4.83E-04,0
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,43.46,69.83,43.45,69.84,138.99,132.95,135.97,7.5,15.4,FL23018,Pandalus borealis,Crunchy,4,0.048,0.008492569002,0.00826019618,0,0,0,0
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,43.46,69.83,43.45,69.84,138.99,132.95,135.97,7.5,15.4,FL23018,Placopecten magellanicus,Crunchy,342,4.87,0.7261146497,0.8380657374,0,0,0,0
FL23,Fall,2023,FL_23018,2,4,736,2023-10-02T00:00:00Z,43.46,69.83,43.45,69.84,138.99,132.95,135.97,7.5,15.4,FL23018,Pontophilus norvegicus,Crunchy,12,0.0145,0.02547770701,0.002495267596,0.001034007353,0,0,5.17E-04
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Cancer borealis,Crunchy,1,0.004,0.003164556962,0.001049317943,0,0,0,0
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Euphausiacea,Crunchy,1,0.001,0.003164556962,2.62E-04,0,0,0,0
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Farfantepenaeus duorarum,Crunchy,65,0.2185,0.2056962025,0.05731899265,0,0,0,0
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Illex illecebrosus,Slimy,2,0.43,0.006329113924,0.1128016789,0,0,0,0
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Pandalus borealis,Crunchy,9,0.1075,0.02848101266,0.02820041973,0,0,0,0
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Pennatulacea,Slimy,2,0.008,0.006329113924,0.002098635887,0,0,1.08E-04,7.19E-05
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Placopecten magellanicus,Crunchy,212,3.01,0.6708860759,0.7896117524,0,0,0,0
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,43.45,69.89,43.44,69.91,151.61,149.41,150.51,7.5,15.6,FL23019,Pontophilus norvegicus,Crunchy,24,0.033,0.07594936709,0.008656873033,0,0,0.003560155619,0.00118671854
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,44.32,67.55,44.31,67.57,86.87,86.32,86.595,10.8,11.8,FL23072,Homarus americanus,Crunchy,41,19.1,0.5061728395,0.9663546673,0,0,0,0
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,44.32,67.55,44.31,67.57,86.87,86.32,86.595,10.8,11.8,FL23072,Pandalus montagui,Crunchy,4,0.004,0.04938271605,2.02E-04,0,0,0,0
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Bathypolypus arcticus,Slimy,1,0.004,0.002624671916,6.70E-05,0,0,0,0
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Cancer borealis,Crunchy,6,1.09,0.0157480315,0.01826468715,0,0,0,0
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Cancer irroratus,Crunchy,4,0.15,0.01049868766,0.002513489058,0,0,0,0
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Crangon vulgaris,Crunchy,2,0.004,0.005249343832,6.70E-05,0,0,0,0
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Doryteuthis pealeii,Slimy,1,0.07,0.002624671916,0.00117296156,0,0,0,0
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Farfantepenaeus duorarum,Crunchy,31,0.09,0.0813648294,0.001508093435,0,0,0,0
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,44.48,67.5,44.47,67.51,74.07,73.52,73.795,11.7,12.2,FL23075,Homarus americanus,Crunchy,336,58.27,0.8818897638,0.976406716,2.20E-04,0.01056910569,0,7.35E-05
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,43.48,69.92,43.47,69.93,127.65,123.26,125.455,8.2,5.8,SP23018,Cancer borealis,Crunchy,6,1.15,0.02631578947,0.2638522427,0,0,0,0
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,43.48,69.92,43.47,69.93,127.65,123.26,125.455,8.2,5.8,SP23018,Farfantepenaeus duorarum,Crunchy,145,0.4525,0.6359649123,0.1038201216,0,0,0,0
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,43.48,69.92,43.47,69.93,127.65,123.26,125.455,8.2,5.8,SP23018,Homarus americanus,Crunchy,3,1.34,0.01315789474,0.307445222,0,0,0,0
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,43.48,69.92,43.47,69.93,127.65,123.26,125.455,8.2,5.8,SP23018,Pandalus borealis,Crunchy,40,0.486,0.1754385965,0.1115062522,0,0,0,0
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,43.48,69.92,43.47,69.93,127.65,123.26,125.455,8.2,5.8,SP23018,Placopecten magellanicus,Crunchy,33,0.72,0.1447368421,0.1651944476,0,0,0,0
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,43.48,69.92,43.47,69.93,127.65,123.26,125.455,8.2,5.8,SP23018,Porifera spp.,Slimy,1,0.21,0.004385964912,0.04818171389,0,0,0,0
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,43.46,69.83,43.45,69.84,146.3,137.4,141.85,7.6,6.1,SP23019,Actiniaria,Slimy,1,0.022,0.003378378378,0.005006827492,0,0,0,0
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,43.46,69.83,43.45,69.84,146.3,137.4,141.85,7.6,6.1,SP23019,Cancer borealis,Crunchy,3,0.142,0.01013513514,0.03231679563,0,0,0,0
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,43.46,69.83,43.45,69.84,146.3,137.4,141.85,7.6,6.1,SP23019,Farfantepenaeus duorarum,Crunchy,51,0.17,0.1722972973,0.03868912153,0,0,0,0
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,43.46,69.83,43.45,69.84,146.3,137.4,141.85,7.6,6.1,SP23019,Homarus americanus,Crunchy,2,1.07,0.006756756757,0.2435138826,0,0,0,0
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,43.46,69.83,43.45,69.84,146.3,137.4,141.85,7.6,6.1,SP23019,Pandalus borealis,Crunchy,16,0.16,0.05405405405,0.03641329085,0,0,0,0
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,43.46,69.83,43.45,69.84,146.3,137.4,141.85,7.6,6.1,SP23019,Placopecten magellanicus,Crunchy,222,2.77,0.75,0.6304050979,0,0,0,0
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,43.46,69.83,43.45,69.84,146.3,137.4,141.85,7.6,6.1,SP23019,Porifera spp.,Slimy,1,0.06,0.003378378378,0.01365498407,0,0,0,0
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,43.45,69.89,43.44,69.91,147.4,156,151.7,6.3,9.1,SP23020,Actiniaria,Slimy,1,0.048,0.003610108303,0.01071907101,0,0,0,0
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,43.45,69.89,43.44,69.91,147.4,156,151.7,6.3,9.1,SP23020,Cancer borealis,Crunchy,10,1.57,0.03610108303,0.3506029477,0,0,0,0
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,43.45,69.89,43.44,69.91,147.4,156,151.7,6.3,9.1,SP23020,Farfantepenaeus duorarum,Crunchy,102,0.35,0.3682310469,0.07815989281,0,0,0,0
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,43.45,69.89,43.44,69.91,147.4,156,151.7,6.3,9.1,SP23020,Homarus americanus,Crunchy,1,0.66,0.003610108303,0.1473872264,0,0,0,0
