sample_type,species,Body_Type,n_trawl_stations,n_trawl_stations_nonzero,mean_trawl_count,sd_trawl_count,mean_trawl_weight,sd_trawl_weight,mean_trawl_count_rel,sd_trawl_count_rel,mean_trawl_weight_rel,sd_trawl_weight_rel,n_edna_stations,n_edna_stations_detected,mean_edna_rel_read_count,sd_edna_rel_read_count
Bottom_metaprobe,Pandalus montagui,Crunchy,11,4,1.181818182,2.272363607,0.002727272727,0.005951317654,0.00792284284,0.01592266694,2.09E-04,4.17E-04,11,2,0.003903991269,0.01099643849
Bottom_metaprobe,Pontophilus norvegicus,Crunchy,11,3,3.363636364,7.723635508,0.0045,0.01039471019,0.009761768641,0.02324787594,0.00111171424,0.002621681414,11,1,9.40E-05,3.12E-04
Bottom_metaprobe,Pennatulacea,Slimy,11,1,0.1818181818,0.6030226892,7.27E-04,0.002412090757,5.75E-04,0.001908299649,1.91E-04,6.33E-04,11,1,7.41E-05,2.46E-04
Bottom_metaprobe,Homarus americanus,Crunchy,11,8,67,130.5534373,15.38454545,26.10685671,0.210046872,0.3412784696,0.4341589966,0.4220313445,11,1,2.00E-05,6.65E-05
Bottom_metaprobe,Illex illecebrosus,Slimy,11,3,0.6363636364,1.120064933,0.1154545455,0.2074301635,0.002236663871,0.004090492858,0.0327191706,0.05740891011,11,1,8.69E-06,2.88E-05
Bottom_metaprobe,Ophiuroidea,Slimy,11,1,0.09090909091,0.3015113446,9.09E-04,0.003015113446,1.93E-04,6.40E-04,1.56E-04,5.19E-04,11,1,4.01E-06,1.33E-05
Bottom_metaprobe,Actiniaria,Slimy,11,2,0.1818181818,0.4045199175,0.006363636364,0.01530537636,6.35E-04,0.001414440463,0.001429627137,0.003427603152,11,0,0,0
Bottom_metaprobe,Artica islandica,Crunchy,11,1,0.09090909091,0.3015113446,0.001818181818,0.006030226892,0.001122334456,0.003722362279,9.20E-05,3.05E-04,11,0,0,0
Bottom_metaprobe,Bathypolypus arcticus,Slimy,11,3,0.3636363636,0.6741998625,0.004909090909,0.01204536878,0.002969951452,0.006128104425,0.001529084084,0.004883696322,11,0,0,0
Bottom_metaprobe,Cancer borealis,Crunchy,11,10,5,5.196152423,0.7432727273,0.6698717923,0.01882149033,0.01417653432,0.09446452074,0.1271953883,11,0,0,0
Bottom_metaprobe,Cancer irroratus,Crunchy,11,1,0.3636363636,1.206045378,0.01363636364,0.04522670169,9.54E-04,0.003165473434,2.28E-04,7.58E-04,11,0,0,0
