"Survey","Season","Year","Tow_Number","Region","Stratum","Grid","Date","Common_Name","Number_Caught","Weight_kg","Subsample_Weight_kg","Subsample_Weight_kg_2","Male_Wt_kg","Female_Wt_kg","Expanded_Catch","Expanded_Weight_kg","TowID"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Crab Jonah",1,0.03,NA,NA,NA,NA,1,0.03,"FL23018"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Dogfish Spiny",19,28.59,NA,NA,27.84,0.75,19,28.59,"FL23018"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Flounder Atlantic Witch (Gray Sole)",61,13.67,NA,NA,NA,NA,61,13.67,"FL23018"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Fourbeard Rockling",6,0.31,NA,NA,NA,NA,6,0.31,"FL23018"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Hake Atlantic Red",250,44.91,18.85,NA,NA,NA,250,44.91,"FL23018"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Hake Silver (Whiting)",2,0.002,NA,NA,NA,NA,300,31.612,"FL23018"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Hake Silver (Whiting)",298,31.61,11.65,NA,NA,NA,NA,NA,"FL23018"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Hake White",17,53.4,NA,NA,NA,NA,17,53.4,"FL23018"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Monkfish",4,6.2,NA,NA,NA,NA,4,6.2,"FL23018"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Plaice American (Dab)",58,28.54,NA,NA,NA,NA,58,28.54,"FL23018"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Redfish Acadian Ocean Perch",13,1.57,NA,NA,NA,NA,13,1.57,"FL23018"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Scallop Sea",342,4.87,1.54,NA,NA,NA,342,4.87,"FL23018"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Shrimp Dichelo",108,0.2785,NA,NA,NA,NA,108,0.2785,"FL23018"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Shrimp Northern",4,0.048,NA,NA,NA,NA,4,0.048,"FL23018"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Shrimp Norwegian",12,0.0145,NA,NA,NA,NA,12,0.0145,"FL23018"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Squid Short-Finned",3,0.56,NA,NA,NA,NA,3,0.56,"FL23018"
"FL23","Fall",2023,18,"2","4","736",2023-10-02,"Star Brittle",NA,0.01,NA,NA,NA,NA,NA,0.01,"FL23018"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Crab Jonah",1,0.004,NA,NA,NA,NA,1,0.004,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Dogfish Spiny",25,39.73,NA,NA,38.53,1.2,25,39.73,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Flounder Atlantic Witch (Gray Sole)",53,12.65,NA,NA,NA,NA,53,12.65,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Flounder Yellowtail",1,0.16,NA,NA,NA,NA,1,0.16,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Fourbeard Rockling",5,0.25,NA,NA,NA,NA,5,0.25,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Hake Atlantic Red",177,32.05,19.01,NA,NA,NA,177,32.05,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Hake Silver (Whiting)",2,0.004,NA,NA,NA,NA,167,16.714,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Hake Silver (Whiting)",165,16.71,11.44,NA,NA,NA,NA,NA,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Hake White",14,49.19,NA,NA,NA,NA,14,49.19,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Krill",1,0.001,NA,NA,NA,NA,1,0.001,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Monkfish",8,3.68,NA,NA,NA,NA,8,3.68,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Plaice American (Dab)",77,35.06,NA,NA,NA,NA,77,35.06,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Redfish Acadian Ocean Perch",11,3.67,NA,NA,NA,NA,11,3.67,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Scallop Sea",212,3.01,1.49,NA,NA,NA,212,3.01,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Sea Pen",2,0.008,NA,NA,NA,NA,2,0.008,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Shrimp Dichelo",65,0.2185,NA,NA,NA,NA,65,0.2185,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Shrimp Northern",9,0.1075,NA,NA,NA,NA,9,0.1075,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Shrimp Norwegian",24,0.033,NA,NA,NA,NA,24,0.033,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Skate Barndoor",1,1.14,NA,NA,NA,NA,1,1.14,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Skate Thorny",2,8.38,NA,NA,NA,NA,2,8.38,"FL23019"
"FL23","Fall",2023,19,"2","4","733",2023-10-02,"Squid Short-Finned",2,0.43,NA,NA,NA,NA,2,0.43,"FL23019"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Dogfish Spiny",8,11.42,NA,NA,1.66,9.76,8,11.42,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Flounder Atlantic Witch (Gray Sole)",71,12.34,NA,NA,NA,NA,71,12.34,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Fourbeard Rockling",8,0.48,NA,NA,NA,NA,8,0.48,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Haddock",2,0.9,NA,NA,NA,NA,2,0.9,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Hake Atlantic Red",184,42.78,25.16,NA,NA,NA,184,42.78,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Hake Silver (Whiting)",403,55.9,16.1,NA,NA,NA,405,55.906,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Hake Silver (Whiting)",2,0.006,NA,NA,NA,NA,NA,NA,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Hake White",25,25.4,NA,NA,NA,NA,25,25.4,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Monkfish",5,9.26,NA,NA,NA,NA,5,9.26,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Plaice American (Dab)",43,14.16,NA,NA,NA,NA,43,14.16,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Redfish Acadian Ocean Perch",3,1.54,NA,NA,NA,NA,3,1.54,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Scallop Sea",49,1.2,NA,NA,NA,NA,49,1.2,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Shrimp Dichelo",110,0.299,NA,NA,NA,NA,110,0.299,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Shrimp Northern",6,0.0765,NA,NA,NA,NA,6,0.0765,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Shrimp Norwegian",1,0.002,NA,NA,NA,NA,1,0.002,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Skate Barndoor",1,7.95,NA,NA,NA,NA,1,7.95,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Skate Thorny",1,6.02,NA,NA,NA,NA,1,6.02,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Squid Short-Finned",2,0.28,NA,NA,NA,NA,2,0.28,"FL23020"
"FL23","Fall",2023,20,"2","4","707",2023-10-02,"Wrymouth",1,1,NA,NA,NA,NA,1,1,"FL23020"
"FL23","Fall",2023,72,"5","3","562",2023-10-25,"Butterfish",1,0.09,NA,NA,NA,NA,1,0.09,"FL23072"
"FL23","Fall",2023,72,"5","3","562",2023-10-25,"Clam Ocean Quahog",1,0.02,NA,NA,NA,NA,1,0.02,"FL23072"
"FL23","Fall",2023,72,"5","3","562",2023-10-25,"Crab Jonah",2,0.53,NA,NA,NA,NA,2,0.53,"FL23072"
"FL23","Fall",2023,72,"5","3","562",2023-10-25,"Flounder Atlantic Witch (Gray Sole)",5,0.07,NA,NA,NA,NA,5,0.07,"FL23072"
"FL23","Fall",2023,72,"5","3","562",2023-10-25,"Flounder Winter",68,8.89,NA,NA,NA,NA,68,8.89,"FL23072"
"FL23","Fall",2023,72,"5","3","562",2023-10-25,"Flounder Yellowtail",1,0.21,NA,NA,NA,NA,1,0.21,"FL23072"
"FL23","Fall",2023,72,"5","3","562",2023-10-25,"Fourbeard Rockling",4,0.24,NA,NA,NA,NA,4,0.24,"FL23072"
"FL23","Fall",2023,72,"5","3","562",2023-10-25,"Hake Atlantic Red",120,11.94,NA,NA,NA,NA,120,11.94,"FL23072"
"FL23","Fall",2023,72,"5","3","562",2023-10-25,"Hake Silver (Whiting)",7,0.036,NA,NA,NA,NA,228,19.136,"FL23072"
"FL23","Fall",2023,72,"5","3","562",2023-10-25,"Hake Silver (Whiting)",221,19.1,9.58,NA,NA,NA,NA,NA,"FL23072"
"FL23","Fall",2023,72,"5","3","562",2023-10-25,"Hake White",12,1.43,NA,NA,NA,NA,12,1.43,"FL23072"
